Month,Points,Ranking,Team
2017-04-01,1500,269,Brentford FC
2017-05-01,1500,263,Brentford FC
2017-06-01,1500,266,Brentford FC
2017-07-01,1500,268,Brentford FC
2017-08-01,1500,265,Brentford FC
2017-09-01,1500,274,Brentford FC
2017-10-01,1500,272,Brentford FC
2017-11-01,1500,275,Brentford FC
2017-12-01,1500,269,Brentford FC
2018-01-01,1500,274,Brentford FC
2018-02-01,1500,272,Brentford FC
2018-03-01,1500,270,Brentford FC
2018-04-01,1500,268,Brentford FC
2018-05-01,1500,271,Brentford FC
2018-06-01,1500,270,Brentford FC
2018-07-01,1500,267,Brentford FC
